gene,stat_cell,lfc_cell,padj_cell,stat_tis,lfc_tis,padj_tis
Mycbp2,-4.70007756675388,-0.324723314832375,0.0005404371758942,-4.83986246474265,-0.519775423353115,1.33384889513869e-05
Rnf187,-4.68228586696342,-0.31479646266809,0.0005795521113036,0.593790243020286,0.0374453190172071,0.69360172696578
Lgalsl,-4.67203855006775,-0.51506754198835,0.0005990842559761,-3.63934336945581,-0.384423339956937,0.0014763326425694
Kctd5,-4.66139011545827,-0.545034417692689,0.0006205926561315,5.63874566324959,0.525725973146987,2.7120436547458e-07
Ppp1r3c,4.65051838560556,0.34300968221407,0.0006436724339873,-0.650182830013582,-0.112726878026021,0.662838907221601
Tsku,4.64554183600724,0.624015427314989,0.0006437992136021,1.42650242220622,0.333921238004294,0.283954862996832
Sgk1,4.64392618280395,0.720321043998709,0.0006437992136021,6.51383144169053,0.909133790639954,1.9151351921946503e-09
Syt11,-4.63455688087852,-0.555580333349907,0.0006632911857926,-6.32110757001793,-0.648209184798139,5.957751457998331e-09
Clca3a1,-4.62549402613094,-0.608468773215138,0.0006726355247358,2.49731925127341,1.0545425912799,0.0383554947143294
Acsbg1,4.62538488389357,1.08268579932837,0.0006726355247358,0.772875714048116,0.558340207600175,0.598257608676999
Itga5,4.61720155765892,0.654085512412675,0.0006894129120013,1.78151236765641,0.304544010723354,0.163552138771635
Caprin2,-4.60650742932158,-0.856567745162409,0.0007152991508948,-5.57206726590867,-0.672261463401199,3.8764477685241e-07
Ammecr1,4.59459956697374,0.387397435682508,0.0007465646546089,5.12513554853926,0.470711061724208,3.56748848334166e-06
Clk1,-4.58142573279832,-0.350691982370217,0.0007839824803239,0.120509516814338,0.0084565654385615,0.943510643194068
Rnpepl1,-4.55603443754365,-0.572484104642824,0.0008726437896831,-3.38267377382789,-0.206647714911087,0.0034246797793377
Fosl1,4.52069238284037,0.495881571640275,0.0010176975460798,6.38275710302037,2.84592931074788,4.1953411589833106e-09
Phf11d,-4.51756397000006,-0.559121361937819,0.0010188878574108,2.19683623152236,0.326961407566343,0.0742432852165246
Twf1,-4.51322251984737,-0.40719573272365,0.0010261115751797,0.414586201198658,0.0259592930797359,0.792113540798831
Dtx3l,-4.47451536643724,-0.395120530602984,0.0012145747683924,-0.331011218839865,-0.0305818609678581,0.83622594482179
