"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","gene_name","log2FoldChange_shrunk"
"Polr2a",375.702175874299,0.112487745291675,0.0613192825310644,1.83445958022566,0.066585802459592,0.148753228547785,0.112487745291675,"Polr2a",0.101101600344359
"Gm20559",67.7319935484986,-0.281500298099927,0.153469129939373,-1.83424704506458,0.0666173309013862,0.148805180525625,-0.281500298099927,"Gm20559",-0.199458953106874
"Prkaca",597.109333509699,0.232423273501265,0.126730995826689,1.83398916725247,0.066655602187933,0.148872179430295,0.232423273501265,"Prkaca",0.176120692539839
"Virma",300.014206858477,-0.0864382134374223,0.0471412551585291,-1.83360016925182,0.0667133670936343,0.14898269438119,-0.0864382134374223,"Virma",-0.0804862493682397
"Gm12098",28.3768464603362,0.316076770977055,0.172429483348026,1.83307845526102,0.066790904593191,0.149137332093499,0.316076770977055,"Gm12098",0.21372351823712
"Gm69569",16.7504335434996,0.45489857344659,0.24819512895638,1.83282635464832,0.0668283985458964,0.149202529325533,0.45489857344659,"Gm69569",0.257331372264965
"Pusl1",60.6350946339644,-0.441276173821697,0.240797944059542,-1.83255789639376,0.06686834435912,0.149257123307759,-0.441276173821697,"Pusl1",-0.253838272342228
"Gm9794",11.2335320131456,0.436043121230592,0.237943307106075,1.83255047823725,0.0668694484384476,0.149257123307759,0.436043121230592,"Gm9794",0.252467282182034
"Obscn",3.32526574607894,-2.15957059950802,1.17861993949636,-1.83228751452384,0.0669085962693398,0.149325972515243,-2.15957059950802,"Obscn",-0.278151770362152
"Rab11a",448.868912268844,0.0882405001051378,0.0481644193124142,1.83206818155065,0.0669412631525643,0.149380342315387,0.0882405001051378,"Rab11a",0.0819610897454449
"Gltp",409.276207543157,0.164745273684838,0.0899292328373858,1.83194350142781,0.0669598385388688,0.149403257159173,0.164745273684838,"Gltp",0.137339778053677
"Kctd18",89.6647493331062,-0.174973966975113,0.0955255844251858,-1.83169742460094,0.066996512585934,0.149436053577578,-0.174973966975113,"Kctd18",-0.143729231956346
"Jun",472.889132877902,-0.17836350572567,0.097381048714188,-1.83160387037076,0.0670104597733795,0.149436053577578,-0.17836350572567,"Jun",-0.145799865251773
"Vasp",282.540994750726,0.124132733877955,0.067774726689942,1.83154901451453,0.0670186388680175,0.149436053577578,0.124132733877955,"Vasp",0.109710235891083
"Gm72636",13.2543760942708,0.521321027476248,0.284633975845641,1.83154883715977,0.0670186653132238,0.149436053577578,0.521321027476248,"Gm72636",0.272022295242401
"Mrps10",66.5655898218967,-0.248300249370586,0.135570601339504,-1.83151986431614,0.0670229855429281,0.149436053577578,-0.248300249370586,"Mrps10",-0.183949546090937
"Setd3",366.288667878377,-0.116694099938082,0.0637146784410878,-1.8315104587082,0.067024388091311,0.149436053577578,-0.116694099938082,"Setd3",-0.104230925524348
"Cnnm4",27.1474035080465,0.287060388576766,0.156747198517044,1.83135897351015,0.0670469806368276,0.14946789709147,0.287060388576766,"Cnnm4",0.201697848830752
"Mms22l",22.3545458199757,0.407712843741282,0.222649356239885,1.83118806461766,0.0670724775634801,0.14950620664974,0.407712843741282,"Mms22l",0.244489263686497
"Gm14966",44.4493920363074,-0.235267304137774,0.128503420224965,-1.8308252319347,0.0671266329686403,0.149608379253279,-0.235267304137774,"Gm14966",-0.17743423682692
"Stimate",206.179795481623,-0.212605486360156,0.116150853003827,-1.83042552733686,0.0671863334325826,0.149722883548313,-0.212605486360156,"Stimate",-0.165491228637373
"Nr2f1",140.836410720411,-0.250587206483333,0.136905735333818,-1.83036310255612,0.0671956612335991,0.149725119294786,-0.250587206483333,"Nr2f1",-0.185002765706635
"Prokr1",35.1949590450159,-0.593304455920132,0.324201855134516,-1.83004645569953,0.0672429924964895,0.149812023168817,-0.593304455920132,"Prokr1",-0.284652922309129
"Gpr160",68.1758854778957,0.267667344289869,0.146306259385065,1.82950029216038,0.067324695587083,0.149975473721733,0.267667344289869,"Gpr160",0.192988599623325
"Gm49125",12.8648827647053,0.44582203519136,0.243789584395933,1.82871649868073,0.0674420895535529,0.150218380521387,0.44582203519136,"Gm49125",0.254551726213652
"Mon2",348.073179459205,-0.0821994177375552,0.044957056714129,-1.82839855954631,0.0674897574100062,0.150288839467513,-0.0821994177375552,"Mon2",-0.0769355512704171
"Cep164",107.979858139446,-0.170025398783623,0.0929916608079399,-1.82839404422279,0.0674904345812909,0.150288839467513,-0.170025398783623,"Cep164",-0.140581278003262
"Gm58962",4.27177502502972,1.07449318429673,0.587814699788054,1.82794541321297,0.0675577444682066,0.15042010299643,1.07449318429673,"Gm58962",0.316131204636789
"Zeb2",1733.03425100832,-0.192782948020156,0.10551524786967,-1.82706245696619,0.0676903792110339,0.150696764511655,-0.192782948020156,"Zeb2",-0.1542317353941
"Xndc1",60.4415515502113,-0.230176382881217,0.125987729851628,-1.82697460421177,0.0677035878681981,0.150707516262056,-0.230176382881217,"Xndc1",-0.174664287453054
"Gm16235",34.1510975126673,0.546826664383745,0.299341879521795,1.82676298170277,0.0677354140070277,0.150759702552951,0.546826664383745,"Gm16235",0.276201460993436
"Dap3",264.606813486899,0.125937140833678,0.068944239226383,1.82665212129117,0.0677520913362579,0.150778163174206,0.125937140833678,"Dap3",0.110953782786557
"Tlk1",404.073943871401,0.121055873708955,0.0662869593313457,1.8262396545275,0.0678141705991812,0.150897645972643,0.121055873708955,"Tlk1",0.107396106463129
"Smpd3",322.078150464032,-0.356712403267348,0.195339759719269,-1.82611263462183,0.0678332974434069,0.150921534861098,-0.356712403267348,"Smpd3",-0.228004047641495
"Mrpl57",269.720117408407,0.136412816698703,0.0747182158198178,1.82569692279138,0.0678959269700594,0.151042194493938,0.136412816698703,"Mrpl57",0.118367667734855
"Matn4",29.7385071229459,0.755533794353437,0.413933861637141,1.82525244821779,0.0679629423807917,0.151172579972906,0.755533794353437,"Matn4",0.303128031560766
"Gm28719",14.2041090465002,0.373594337219828,0.204692522705246,1.82514892230723,0.0679785592517664,0.151188619599638,0.373594337219828,"Gm28719",0.233493175800001
"Ttk",12.1756084293248,0.692862903333574,0.379669234768889,1.82491189668115,0.0680143256521972,0.151249463548519,0.692862903333574,"Ttk",0.296964895353633
