"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","gene_name"
"Pfdn1",382.181875694544,-0.453110537692442,0.0481406486273894,-9.41222336241325,4.85751130603397e-21,7.28059986252724e-19,-0.453110537692442,"Pfdn1"
"Tlr13",28.5263379043731,2.32442322790649,0.247602448637754,9.38772310490013,6.13112651305957e-21,9.11359020362722e-19,2.32442322790649,"Tlr13"
"Trim25",283.924873671185,0.476544109191752,0.0507891667601536,9.38279045691339,6.42493772409756e-21,9.47204343488678e-19,0.476544109191752,"Trim25"
"Nbas",107.006390555664,-0.726942198073557,0.0776601474828647,-9.36055649693368,7.93178125339847e-21,1.15984567173679e-18,-0.726942198073557,"Nbas"
"Mpv17",276.718324652448,-0.780143423543669,0.0834264581519965,-9.35127105746607,8.66006640917162e-21,1.2561286648013e-18,-0.780143423543669,"Mpv17"
"Ganc",457.706503977177,-0.611945113886336,0.0655234857728179,-9.33932477292284,9.69504153827658e-21,1.39500013685954e-18,-0.611945113886336,"Ganc"
"D830024N08Rik",72.4095212065041,-2.10677606812408,0.226118606392602,-9.3171283059571,1.1953163261564e-20,1.70626662240071e-18,-2.10677606812408,"D830024N08Rik"
"Pbxip1",712.719383913167,-0.603067559550836,0.0647615362270104,-9.31212560240829,1.25299230445233e-20,1.77451335337634e-18,-0.603067559550836,"Pbxip1"
"Qser1",393.57988632748,-0.442029185777059,0.0474864039676998,-9.30854200031081,1.29599088374166e-20,1.82106969023261e-18,-0.442029185777059,"Qser1"
"Tbc1d7",67.1378576211081,-0.977371723285493,0.105291510500955,-9.28253112369042,1.65499422842672e-20,2.30749815445605e-18,-0.977371723285493,"Tbc1d7"
"Lgmn",290.750217891015,0.889205410222032,0.0960940422897546,9.25349156965206,2.17276535005978e-20,3.00610442970578e-18,0.889205410222032,"Lgmn"
"Man1c1",262.146950596741,0.701793754067817,0.0760669076002066,9.2260061071013,2.8091115446799e-20,3.85684582004677e-18,0.701793754067817,"Man1c1"
"Drosha",189.727273678503,-0.528369179317546,0.0573804018417384,-9.20818192899465,3.31695151891805e-20,4.51959772873182e-18,-0.528369179317546,"Drosha"
"Txnl4b",59.9066867856393,-1.21054565138978,0.131687710428643,-9.19254839688125,3.83642757325116e-20,5.18811927311995e-18,-1.21054565138978,"Txnl4b"
"Tnfaip8l2",63.4895439629239,1.36225927473732,0.148358779497882,9.18219521182277,4.22391246691427e-20,5.66949922611343e-18,1.36225927473732,"Tnfaip8l2"
"Elovl3",54.4071507617544,5.04047867075787,0.55217365893375,9.12843014005967,6.949974613719e-20,9.25942543721111e-18,5.04047867075787,"Elovl3"
"Cryzl1",286.795452937041,-0.577448632776652,0.0633219359742901,-9.11925107613746,7.56452488171176e-20,1.00040841560638e-17,-0.577448632776652,"Cryzl1"
"Hmox1",103.799928532204,1.2718719810889,0.139595768574686,9.11110697749002,8.15456266682362e-20,1.07056908120795e-17,1.2718719810889,"Hmox1"
"Pycr2",206.700658448531,-0.619834322635545,0.0680773071113274,-9.10485959178622,8.6378092825761e-20,1.12579447649575e-17,-0.619834322635545,"Pycr2"
"Rgs1",48.57436094967,3.10588971963159,0.341559008101646,9.09327421019825,9.61004934763598e-20,1.2434989033567e-17,3.10588971963159,"Rgs1"
"Cd200r1",48.6669117323772,1.86648870788704,0.205379935112043,9.08797983049705,1.00896251018037e-19,1.29622855057887e-17,1.86648870788704,"Cd200r1"
"Fgf2",212.047481559629,-1.25303812720818,0.137891426481477,-9.08713586610483,1.01682284369791e-19,1.29706210402487e-17,-1.25303812720818,"Fgf2"
"AW112010",360.54187203951,1.18241702412398,0.130557684510834,9.05666356257919,1.34501679359211e-19,1.70362479222167e-17,1.18241702412398,"AW112010"
"Atp6v1b2",694.125382906573,0.788451485209949,0.0870924098628499,9.05304476534264,1.39036267510177e-19,1.74874566953709e-17,0.788451485209949,"Atp6v1b2"
"Nubpl",44.5209631603399,-1.29157954048095,0.14272648190891,-9.04933354487962,1.43843564592785e-19,1.79664607830961e-17,-1.29157954048095,"Nubpl"
"Lcp1",443.946326897873,1.07736257732693,0.119384199676152,9.02433136252073,1.80796056719786e-19,2.24020907627294e-17,1.07736257732693,"Lcp1"
"Nudcd3",486.117407686877,-0.365360652123203,0.0404890226017522,-9.02369651440763,1.81847284074196e-19,2.24020907627294e-17,-0.365360652123203,"Nudcd3"
"Smarcc2",815.069534289254,-0.623608365747596,0.0691532172425429,-9.01777806751056,1.91942695976225e-19,2.34849070056353e-17,-0.623608365747596,"Smarcc2"
"Gpcpd1",304.737993606652,0.770847038039278,0.0855013475367182,9.01561273883129,1.95772946365479e-19,2.37917041441183e-17,0.770847038039278,"Gpcpd1"
"Specc1",103.445936327235,1.12083361560126,0.124482449652505,9.00394889986573,2.17741519141031e-19,2.62838856595341e-17,1.12083361560126,"Specc1"
"Fcgr3",327.116204065403,0.864085271779432,0.0960742610227387,8.99393097153171,2.38542311601957e-19,2.8602813443152e-17,0.864085271779432,"Fcgr3"
"Mcl1",783.226222347132,0.407345629055651,0.0453340022666126,8.98543275883786,2.57718059183624e-19,3.06974636587858e-17,0.407345629055651,"Mcl1"
"Tmem243",136.124072256017,-0.838065941232083,0.0933264351120116,-8.97994164489648,2.70910406214649e-19,3.20565431985308e-17,-0.838065941232083,"Tmem243"
"Acsl3",263.111382825996,1.20270327978448,0.134077632635214,8.97020074225718,2.95974521023165e-19,3.47934492491676e-17,1.20270327978448,"Acsl3"
"Ephx1",230.192539079788,1.55894483231196,0.173956755286782,8.96168033107947,3.19767729829004e-19,3.73463791474316e-17,1.55894483231196,"Ephx1"
"Gstk1",249.744754609074,-0.905367673064662,0.101123360801928,-8.95310110230637,3.456330505449e-19,4.01068132071005e-17,-0.905367673064662,"Gstk1"
"Adgre1",239.103720003155,1.1085830858794,0.123834172766834,8.95215804418337,3.48599387236751e-19,4.01917216592321e-17,1.1085830858794,"Adgre1"
"Tpsb2",262.322124722242,1.17746957998078,0.131563814333158,8.94979813369569,3.56133024759563e-19,4.03632090454867e-17,1.17746957998078,"Tpsb2"
"Dhdds",192.315143590014,-0.557949887158379,0.0623432850322396,-8.94963887241178,3.56647195768037e-19,4.03632090454867e-17,-0.557949887158379,"Dhdds"
"Zrsr2",386.307461041568,0.413376324826727,0.0461894372848298,8.94958564395618,3.56819205950872e-19,4.03632090454867e-17,0.413376324826727,"Zrsr2"
"Tbck",190.788416418595,-0.579870496645822,0.0648191846729291,-8.94597023353176,3.6869644333394e-19,4.14460889362765e-17,-0.579870496645822,"Tbck"
"Cd300a",108.210814272991,1.71585705142548,0.191978393462481,8.93776127864524,3.9713386729922e-19,4.43655263182843e-17,1.71585705142548,"Cd300a"
"Slc15a3",44.3309060109937,2.41641241393511,0.271470784348482,8.90118772719645,5.5252216992145e-19,6.13436033839951e-17,2.41641241393511,"Slc15a3"
