"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","gene_name","log2FoldChange_shrunk"
"Vav3",140.522074926173,0.967825460192354,0.0859695060881795,11.2577762072944,2.12042014319154e-29,3.49888777022414e-27,0.967825460192354,"Vav3",0.952280990873761
"Vegfb",612.597878208543,-1.52811740791031,0.135826910706889,-11.250476065144,2.30345408712679e-29,3.76635683736931e-27,-1.52811740791031,"Vegfb",-1.48198056418542
"Coa8",299.045250965576,-0.783081817549005,0.0696169681464138,-11.2484332253895,2.35742386082861e-29,3.81987617665437e-27,-0.783081817549005,"Coa8",-0.774217795442906
"Coq8a",130.534523198614,-1.43559720145907,0.127830445685458,-11.230479513398,2.88906361327141e-29,4.63952662038388e-27,-1.43559720145907,"Coq8a",-1.3950219228115
"Fn3krp",109.02981893083,-1.00125266037925,0.0893301745497521,-11.2084484937574,3.70633044041801e-29,5.89929728330605e-27,-1.00125266037925,"Fn3krp",-0.984126940452201
"Wsb1",122.368326074768,0.957280376073337,0.0854184398942909,11.206952237222,3.76950366645592e-29,5.9472186793751e-27,0.957280376073337,"Wsb1",0.942039304067146
"Tlcd3b",38.0822779010518,-2.17854261892854,0.194525972425494,-11.1992377766571,4.11256620763761e-29,6.43205354874523e-27,-2.17854261892854,"Tlcd3b",-2.10163675213834
"2810414N06Rik",41.3636731685279,-1.98180392739442,0.176978331045624,-11.198003256588,4.17026959009042e-29,6.46607490063502e-27,-1.98180392739442,"2810414N06Rik",-1.91033205071831
"Coq2",142.095063298762,-0.830560294931359,0.0741987241459093,-11.193727446015,4.37640726631265e-29,6.72769752922216e-27,-0.830560294931359,"Coq2",-0.820080819430921
"Eif4e3",559.967337664006,-0.958118246286618,0.0856683522439952,-11.1840396271165,4.88161710688447e-29,7.44074282071391e-27,-0.958118246286618,"Eif4e3",-0.942780444561189
"Macrod1",107.429186895176,-1.19642622005552,0.107285983432315,-11.1517477099916,7.02135432265455e-29,1.06122755333836e-26,-1.19642622005552,"Macrod1",-1.16939167673262
"Pcca",272.0312740417,-1.26056998618272,0.113077579472914,-11.1478331253515,7.33713601615881e-29,1.09971440322194e-26,-1.26056998618272,"Pcca",-1.22992095423833
"Trf",1888.34638499105,-1.18524316565016,0.106360020595169,-11.1436906369309,7.68665475318134e-29,1.14257993711339e-26,-1.18524316565016,"Trf",-1.15877961374582
"Mcat",95.0130963726958,-1.13410493558113,0.101810261848666,-11.1393970999396,8.06635491842514e-29,1.18919229149832e-26,-1.13410493558113,"Mcat",-1.11033696565042
"Nrg4",486.548197225661,-1.89965221522021,0.17060521918967,-11.1347837085117,8.49509778821153e-29,1.24221812047783e-26,-1.89965221522021,"Nrg4",-1.83093189725576
"Nap1l5",32.5230574934899,-2.67558539125306,0.240473255925529,-11.1263324520447,9.33997860214884e-29,1.35474883176007e-26,-2.67558539125306,"Nap1l5",-2.59846793771081
"Dpyd",89.5571851595973,-1.77849301522179,0.159863554730738,-11.1250686137772,9.47329585883662e-29,1.36309359453628e-26,-1.77849301522179,"Dpyd",-1.71599946957152
"Tmed4",310.598286193733,-0.621478123532597,0.0559770013873165,-11.1023832668788,1.22142709679081e-28,1.74353871133964e-26,-0.621478123532597,"Tmed4",-0.616447365797012
"Slc2a4",468.057778014093,-2.10130124664214,0.189602470487087,-11.0826680751781,1.52266297031833e-28,2.15642647119255e-26,-2.10130124664214,"Slc2a4",-2.02435779576715
"Dbt",412.838552106184,-1.20519798449649,0.108855376736279,-11.0715521881504,1.7238849474179e-28,2.42232770814518e-26,-1.20519798449649,"Dbt",-1.17728860218763
"Slc25a26",72.3336280402451,-1.33420862152292,0.120576552367155,-11.06524108817,1.84964815229928e-28,2.57889702846937e-26,-1.33420862152292,"Slc25a26",-1.29872449606996
"Tmem45b",295.238203202056,-5.55566510730044,0.502933826058282,-11.0465131185204,2.27895466042529e-28,3.15302142480071e-26,-5.55566510730044,"Tmem45b",-5.26123001565576
"Pmpcb",419.142391330266,-0.90772451532092,0.0822914339982683,-11.0306075762396,2.72021063497055e-28,3.73478690691453e-26,-0.90772451532092,"Pmpcb",-0.894053040893613
"Tmem134",861.499797782752,-1.00675265153602,0.0912760402424056,-11.0297581803762,2.74602413941151e-28,3.74166592207995e-26,-1.00675265153602,"Tmem134",-0.988823998364257
"Aqp11",120.470489299134,-2.72204721398256,0.246814426284873,-11.0287200588542,2.77790327506083e-28,3.75664423347699e-26,-2.72204721398256,"Aqp11",-2.64362814870123
"Deptor",963.752496329054,-1.03346277331855,0.0941062978971665,-10.9818662131184,4.67171651112471e-28,6.27055919172306e-26,-1.03346277331855,"Deptor",-1.0141207993824
"Atf3",99.4374586145149,2.18637005360758,0.199232546974399,10.9739602630715,5.09890639264175e-28,6.79325410207811e-26,2.18637005360758,"Atf3",2.10600242613906
"Smim26",211.445301611552,-0.927914120928537,0.084640381201784,-10.9630191612249,5.75468909589292e-28,7.61057632931838e-26,-0.927914120928537,"Smim26",-0.913247706226505
