"pathway_id","pathway_name","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","geneID","Count","contrast","tissue","direction","database","analysis_type","logFC_cutoff","fdr_cutoff"
"GO:0036005","response to macrophage colony-stimulating factor","15/1423","54/15043",0.277777777777778,2.93648004997267,4.60776440692553,0.000100104634066631,0.00871321705286811,"Dcstamp,Ccl2,Fgfr3,Epha2,Epha1,Fgfr2,Ephb3,Epha3,Kit,Tyro3,Ror2,Erbb2,Epha7,Ltk,Tnf",15,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0051606","detection of stimulus","28/1423","140/15043",0.2,2.11426563598032,4.28136833398999,0.000104942859096399,0.00880611043287822,"Srpx,Naip5,Naip6,Pak1,Itga2,Cadm1,Nr4a1,Col11a1,Ryr2,Cacnb4,Pawr,Htr7,Htr2a,Phf24,Kit,Clec4n,Cxcr4,Ano3,Car6,Cacnb3,Ano1,Kcnmb1,Tulp1,Tac1,Or51e2,Slc12a2,Piezo2,Tnf",28,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0099612","protein localization to axon","6/1423","10/15043",0.6,6.34279690794097,5.46276509355237,0.000106510970527554,0.00880611043287822,"Epb41l3,Ugt8a,Nfasc,Ank3,Trim46,Mal",6,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0042060","wound healing","55/1423","349/15043",0.157593123209169,1.6659686243398,4.06877011501519,0.000107974173064616,0.00880611043287822,"Myof,Cd44,Tgfb2,Timp1,Cdkn1a,Mmp12,Pla2g4a,Ndnf,Plek,Prkg1,F10,Adra2a,F7,Pak1,Tec,Slc6a4,Cadm4,Plaur,Hpse,Vangl2,Ccl2,Tfpi2,Angpt2,Cldn1,Htr2a,Cldn19,Wfdc1,Krt6a,Cd109,Itgb6,Cxcr4,Tyro3,Evpl,Ccn4,Cxadr,Ptk7,Lilrb4a,Epb41l4b,Erbb2,Cx3cl1,Tspan8,Celsr1,Mmrn1,Duox1,Arhgef19,Slc12a2,Wnt4,Muc16,Chmp4c,Duox2,Bnc1,Scnn1b,Adamts18,Tnf,Prrg4",55,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0032634","interleukin-5 production","8/1423","18/15043",0.444444444444444,4.69836807995627,5.07464694497997,0.000115574730968143,0.00880611043287822,"Lilrb4b,Tnfrsf21,Il1rap,Il33,Tslp,Lilrb4a,Prkcz,Gata3",8,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0032674","regulation of interleukin-5 production","8/1423","18/15043",0.444444444444444,4.69836807995627,5.07464694497997,0.000115574730968143,0.00880611043287822,"Lilrb4b,Tnfrsf21,Il1rap,Il33,Tslp,Lilrb4a,Prkcz,Gata3",8,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0010817","regulation of hormone levels","69/1423","468/15043",0.147435897435897,1.55859325729319,3.96808550951429,0.000128335435282901,0.00926640177031312,"Il1rn,Edn1,Mcpt4,Dhrs9,Adra2a,Lepr,Sfrp1,Tacr1,Kcnn4,Trpm4,Slc18a2,Ildr2,Enpp1,Spp1,Aldh1a3,Il1b,Runx1,Cacna1d,Snap25,Ces2e,Kcnma1,Igfbp3,Slc7a5,Chrm3,Adh7,Pex5l,Gnaz,Cyp46a1,Mup3,Inha,Mup11,Rdh12,Myb,Crym,Duoxa1,Vdr,Adora3,Gcnt4,Sct,Inhba,Dkk3,Hmga2,Rab11fip1,Stc2,Reln,Ano1,C1qtnf3,Pde1c,Vsnl1,Nr1h4,Rims2,Doc2b,Cyp2s1,Dio2,Wnk4,Tac1,Lif,Wnt4,Cyp11a1,Duox2,Gpr39,Nos1,Scnn1b,Ecrg4,Tnf,Glp1r,Dio3,Plb1,Gata3",69,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0043410","positive regulation of MAPK cascade","64/1423","427/15043",0.149882903981265,1.58446136654263,3.96024603594835,0.00013868563423794,0.00956249372543355,"Cd44,Eda2r,Tnfrsf11a,Gcnt2,Tgfb2,Gdf15,Naip5,Naip6,Cd84,Adam8,Edn1,Plcg2,Nox4,Adra2a,Lepr,Pak1,Pik3r5,Kcnn4,Vangl2,Arhgef5,Mid1,Fgfr3,Il1b,Npnt,Igfbp3,Tnik,Wnt16,Gpnmb,Iqgap3,Htr2a,Fgfr2,Gadd45b,Fcer1a,Sphk1,Pde5a,Kit,Gpr37l1,Ccn2,Cxcr4,Tgfa,Ksr2,Ager,Sh3rf2,Inhba,Fpr2,Npy,Lpar2,C1qtnf3,Erbb2,Cx3cl1,Prkcz,Wwc1,Lif,Wnt4,Tpd52l1,Tpbg,Havcr2,Tnfaip8l3,Gpr39,Fzd10,Myoc,Inava,Tnf,Dsc2",64,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0060285","cilium-dependent cell motility","31/1423","166/15043",0.186746987951807,1.97416369624669,4.07938779122362,0.000173580310686632,0.0109200920208204,"Tacr1,Pierce1,Efhb,Dnah7b,Spef2,Dnah14,Atp1a4,Clxn,Cfap69,Ccdc39,Enkur,Rsph4a,Ccdc65,Cfap45,Armc2,Ttll3,Rsph1,Pacrg,Tac1,Nme5,Dnah11,Klc3,Nsun7,Ly6k,Eno4,Rnase10,Cfap47,Tekt2,Spaca9,Lrrc23,Ccdc146",31,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0002274","myeloid leukocyte activation","39/1423","227/15043",0.171806167400881,1.81621937892583,4.00517073372824,0.000176128179674695,0.0109717495456178,"Cd84,Pla2g4a,Lilrb4b,Plcg2,Milr1,Lat2,Batf,Enpp3,Dcstamp,Clec4d,Mrgprb1,Cd300a,Kcnn4,Ms4a2,Ubd,Il33,Fgr,Slc18a2,Tslp,Itgb8,Clec12a,Fcer1a,Mrgprx2,Slc7a2,Sphk1,Kit,Itgb6,Ager,Adora3,Adora2b,Lilrb4a,Npy,Il10,Cx3cl1,Wnk4,Havcr2,Camp,Scnn1b,Tnf",39,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
