"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","gene_name"
"Sdha",1108.88272333445,-0.833918363322633,0.0856186088502503,-9.73991956329474,2.03715544121344e-22,1.37745405134079e-20,-0.833918363322633,"Sdha"
"Pon1",46.6170613446038,-3.406638418329,0.349859366626577,-9.73716511058879,2.09312039680465e-22,1.40999488602729e-20,-3.406638418329,"Pon1"
"Dmtn",132.713817143485,-1.32458015108244,0.136057614310442,-9.73543566668856,2.12903412650742e-22,1.42883611191651e-20,-1.32458015108244,"Dmtn"
"Hibadh",667.919086635896,-0.979790491500066,0.100659607448495,-9.73370070016814,2.16567526862428e-22,1.44802362012923e-20,-0.979790491500066,"Hibadh"
"Gm10115",236.526911101151,1.14551673438216,0.117703708468939,9.73220597110116,2.19774280101536e-22,1.45978220917535e-20,1.14551673438216,"Gm10115"
"Egln1",352.481411445445,-0.628820031411008,0.0646128192280674,-9.73212497030082,2.19949393242811e-22,1.45978220917535e-20,-0.628820031411008,"Egln1"
"Smarcc2",815.069534289254,-0.677428595900624,0.0696319127929845,-9.72870870163537,2.27462012519144e-22,1.50409255778284e-20,-0.677428595900624,"Smarcc2"
"Por",1080.57633268715,-1.21291425927878,0.124731591505551,-9.72419452552882,2.37779778592918e-22,1.56655937647334e-20,-1.21291425927878,"Por"
"Dnlz",250.565000074887,-0.941889196731771,0.0969503108841586,-9.71517458935424,2.59803403947036e-22,1.7054102275151e-20,-0.941889196731771,"Dnlz"
"Ogfod3",105.384171157042,-1.15271821740558,0.118702411624789,-9.7109924021531,2.70688586789152e-22,1.77040178981443e-20,-1.15271821740558,"Ogfod3"
"Uqcc6",114.74391679728,-0.971579353404578,0.100063160070681,-9.70966090535511,2.74247959596909e-22,1.78718253670653e-20,-0.971579353404578,"Uqcc6"
"Mtln",374.839320332348,-1.0797009815299,0.11126951241446,-9.70347544535107,2.9139992392622e-22,1.89210073347906e-20,-1.0797009815299,"Mtln"
"Rhot2",226.400820786489,-0.595674680039846,0.0613988321251643,-9.70172655443244,2.96439168652426e-22,1.91789744150451e-20,-0.595674680039846,"Rhot2"
"Plpp6",199.631969521742,-1.03604352022114,0.106919565765574,-9.68993385637862,3.3274409062456e-22,2.14506638493668e-20,-1.03604352022114,"Plpp6"
"Retn",2261.33694669841,-1.79661590665847,0.185483873087354,-9.68610303825363,3.45459060772369e-22,2.21908095251851e-20,-1.79661590665847,"Retn"
"Mrps11",113.374549187759,-0.786691317069519,0.0812852494612705,-9.67815590508028,3.73390009555881e-22,2.38996181917156e-20,-0.786691317069519,"Mrps11"
"Yaf2",265.687660428668,-0.818149178228685,0.0845513480978654,-9.67635876463737,3.8000970964028e-22,2.42370731829435e-20,-0.818149178228685,"Yaf2"
"Zfp467",214.797549176685,-0.917772318124546,0.094878958354758,-9.67308594064599,3.92364746784305e-22,2.49366513627651e-20,-0.917772318124546,"Zfp467"
"Ndufaf3",190.369247778433,-0.756957473039361,0.0782700509007669,-9.67109979267875,4.00055491873495e-22,2.53359087212559e-20,-0.756957473039361,"Ndufaf3"
"Adig",657.07370778881,-1.80720980764987,0.186995615415437,-9.66445017245402,4.26906117991679e-22,2.69415208357836e-20,-1.80720980764987,"Adig"
"D330023K18Rik",98.7447756988875,-0.928222991296363,0.0960638682645682,-9.66256104469952,4.348543874844e-22,2.73471713751553e-20,-0.928222991296363,"D330023K18Rik"
