"","baseMean","log2FoldChange","lfcSE","stat","pvalue","logFC","P.Value","adj.P.Val","gene_name","log2FoldChange_shrunk"
"Tshz3",32.7071958955267,0.0690147630215084,0.2343769553,0.294460532321406,0.768406017830563,0.0690147630215084,0.768406017830563,0.944001399746384,"Tshz3",0.00539692093347197
"Eif2s3x",98.0619367061063,-0.0416736567355345,0.141668512081822,-0.294163156816847,0.768633232347185,-0.0416736567355345,0.768633232347185,0.94413375745054,"Eif2s3x",-0.00781605616829565
"Rps6",142.345131623954,-0.0342458161242486,0.116508236501778,-0.293934722149245,0.768807785013156,-0.0342458161242486,0.768807785013156,0.94413375745054,"Rps6",-0.00868006489300254
"Cep76",43.7887401171529,-0.0622539677069623,0.211799664132938,-0.29392854781813,0.768812503137328,-0.0622539677069623,0.768812503137328,0.94413375745054,"Cep76",-0.00584980657534133
"Anapc13",389.712058004119,0.0221803340625568,0.0754665516247468,0.293909468301232,0.768827082832245,0.0221803340625568,0.768827082832245,0.94413375745054,"Anapc13",0.0099556821932378
"Phax",384.834526611092,-0.0220462622785369,0.075106595237511,-0.293532974152531,0.769114799173874,-0.0220462622785369,0.769114799173874,0.944366116080649,"Phax",-0.00994254044517667
"Mfsd13b",16.0143464397519,0.0959933945283336,0.327112500868775,0.293456820737164,0.769172999383036,0.0959933945283336,0.769172999383036,0.944366116080649,"Mfsd13b",0.0040077013963411
"Manea",105.44251421986,-0.0385845127964607,0.13163857151332,-0.293109476598631,0.769438473456001,-0.0385845127964607,0.769438473456001,0.944595836276754,"Manea",-0.00816140987555307
"Gga3",82.8459058913287,-0.0427235810352488,0.146017577260195,-0.292592041567145,0.769833997598309,-0.0427235810352488,0.769833997598309,0.944849057612268,"Gga3",-0.00763793403098888
"Slx1b",51.1456467963261,0.0537594035685275,0.183783959848964,0.292514121540899,0.769893564375593,0.0537594035685275,0.769893564375593,0.944849057612268,"Slx1b",0.00650460283839425
"Trappc13",182.489957410407,0.0297097389363437,0.10157809877207,0.292481738637472,0.769918320223478,0.0297097389363437,0.769918320223478,0.944849057612268,"Trappc13",0.00924702621287123
"Vkorc1",225.567022833147,-0.0270421822833811,0.0924742140569345,-0.292429436239726,0.769958304477532,-0.0270421822833811,0.769958304477532,0.944849057612268,"Vkorc1",-0.0093399658104654
"Zfp748",20.9015701762424,-0.085351056940079,0.292154976258887,-0.292143088004247,0.770177223454116,-0.085351056940079,0.770177223454116,0.945021487762645,"Zfp748",-0.00438514101680866
"Gm45738",10.1479091645726,0.118234775372475,0.404826090873238,0.292063130410973,0.770238355911587,0.118234775372475,0.770238355911587,NA,"Gm45738",0.00327053520059484
"Gm49870",9.54738968801533,-0.125814886098086,0.431037232825835,-0.291888673452307,0.770371743853448,-0.125814886098086,0.770371743853448,NA,"Gm49870",-0.00304772258082975
"Gm66631",18.4758235741521,-0.0893214282945037,0.306355949048622,-0.291560939397091,0.770622344202206,-0.0893214282945037,0.770622344202206,0.945344511746077,"Gm66631",-0.004091446181774
"Kif9",11.263757839715,-0.120415656639265,0.413177933089253,-0.291437772920107,0.770716529078625,-0.120415656639265,0.770716529078625,0.945344511746077,"Kif9",-0.00316890180527555
"Gm35724",60.7960659909502,0.049844386924014,0.171057474730625,0.291389703972346,0.77075328811399,0.049844386924014,0.77075328811399,0.945344511746077,"Gm35724",0.00702868240249261
"Phb1",196.576739895844,0.0291856993037115,0.100160780941577,0.291388495869808,0.770754211974505,0.0291856993037115,0.770754211974505,0.945344511746077,"Phb1",0.00585395548791728
"Rbm3os",9.26900746535335,-0.126402771338672,0.434127246026117,-0.291165257411805,0.77092493253225,-0.126402771338672,0.77092493253225,NA,"Rbm3os",-0.00302187990622992
"Cdk13",353.807159691845,-0.026380407123875,0.090641608650285,-0.291040809146011,0.771020108574446,-0.026380407123875,0.771020108574446,0.945512514919512,"Cdk13",-0.0085923498636784
"Gfod2",94.4660614387199,-0.0421305885686801,0.144776547593787,-0.291004235623091,0.771048080074992,-0.0421305885686801,0.771048080074992,0.945512514919512,"Gfod2",-0.00763861837469525
"ENSMUSG00000121787_Magef1",63.9750720467632,-0.0496006614855625,0.170541288441251,-0.290842539885285,0.771171748852819,-0.0496006614855625,0.771171748852819,0.945528865675786,"ENSMUSG00000121787_Magef1",-0.0068179456762819
"Hspa1b",141.131818342299,-0.0340462164632959,0.117116886566015,-0.290702882065646,0.771278567183486,-0.0340462164632959,0.771278567183486,0.945528865675786,"Hspa1b",-0.00851061860256662
"Mthfsl",46.1711911574772,0.058472756723136,0.201159135573057,0.290679101183052,0.771296756602035,0.058472756723136,0.771296756602035,0.945528865675786,"Mthfsl",0.00605258537458742
